,Species,Dead_Alive,Gear,SCL_notch,SCL_tip,SCW,CCL_notch,TestLevel_Before,Entangled
0,Green,Alive,Gill net,29.8,30.2,25.3,31.0,78.7,Free
1,Green,Alive,Gill net,29.8,30.2,25.3,31.0,78.7,Free
2,Loggerhead,Alive,Gill net,45.9,46.4,39.8,49.4,155.4,Free
3,Loggerhead,Alive,Gill net,45.9,46.4,39.8,49.4,155.4,Free
4,Kemps_Ridley,Alive,Pound net,44.5,45.1,42.0,46.1,110.9,Free
5,Kemps_Ridley,Alive,Pound net,44.5,45.1,42.0,46.1,110.9,Free
6,Loggerhead,Alive,Pound net,58.2,59.4,49.5,63.7,155.4,Free
7,Loggerhead,Alive,Pound net,58.2,59.4,49.5,63.7,155.4,Free
8,Green,Alive,Gill net,30.2,30.7,20.4,31.3,78.7,Free
9,Green,Alive,Gill net,30.2,30.7,20.4,31.3,78.7,Free
10,Loggerhead,Alive,Pound net,63.1,64.6,57.9,70.2,155.4,Free
11,Loggerhead,Alive,Pound net,63.1,64.6,57.9,70.2,155.4,Free
12,Green,Alive,Pound net,46.3,46.6,38.8,48.7,78.7,Free
13,Green,Alive,Pound net,46.3,46.6,38.8,48.7,78.7,Free
14,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
15,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
16,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
17,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
18,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
19,Loggerhead,Alive,Pound net,52.0,53.1,44.2,56.5,155.4,Free
20,Loggerhead,Alive,Pound net,50.7,51.6,42.9,54.0,155.4,Free
21,Loggerhead,Alive,Pound net,50.7,51.6,42.9,54.0,155.4,Free
22,Loggerhead,Alive,Pound net,62.3,72.2,58.3,67.5,155.4,Free
23,Loggerhead,Alive,Pound net,62.3,72.2,58.3,67.5,155.4,Free
24,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
25,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
26,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
27,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
28,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
29,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
30,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
31,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
32,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
33,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
34,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
35,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
36,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
37,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
38,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
39,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
40,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
41,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
42,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
43,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
44,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
45,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
46,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
47,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
48,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
49,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
50,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
51,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
52,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
53,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
54,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
55,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
56,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
57,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
58,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
59,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
60,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
61,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
62,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
63,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
64,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
65,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
66,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
67,Loggerhead,Alive,Pound net,62.3,63.6,52.2,67.5,155.4,Free
